,symbol,name,24h_against_bitcoin,percent_change_24h,bitcoin_percent_change_24h,LoadedWhen
0,ALGO,Algorand,-8.2169487,-5.04712249,3.16982621,20250118032721
1,XMR,Monero,-4.53824949,-1.36842328,3.16982621,20250118032721
2,DOT,Polkadot,-2.21305343,0.95677278,3.16982621,20250118032721
3,SUSHI,SushiSwap,-1.5770011700000002,1.59282504,3.16982621,20250118032721
4,UNI,Uniswap,-1.5635084000000001,1.60631781,3.16982621,20250118032721
5,CORE,Core,-1.33669253,1.83313368,3.16982621,20250118032721
6,ETH,Ethereum,-1.1527747700000002,2.01705144,3.16982621,20250118032721
7,LUNA,Terra,-0.5876369600000002,2.58218925,3.16982621,20250118032721
8,LTC,Litecoin,-0.49078858000000025,2.67903763,3.16982621,20250118032721
9,BTC,Bitcoin,0.0,3.16982621,3.16982621,20250118032721
10,APE,ApeCoin,0.28532767000000003,3.45515388,3.16982621,20250118032721
11,ATOM,Cosmos,0.38714236999999985,3.55696858,3.16982621,20250118032721
12,AAVE,Aave,0.4004698200000001,3.57029603,3.16982621,20250118032721
13,OP,Optimism,1.1459617299999998,4.31578794,3.16982621,20250118032721
14,TRX,TRON,1.8451962999999996,5.01502251,3.16982621,20250118032721
15,DASH,Dash,2.2431912499999997,5.41301746,3.16982621,20250118032721
16,SOL,Solana,3.38615203,6.55597824,3.16982621,20250118032721
17,SHIB,Shiba Inu,3.67586001,6.84568622,3.16982621,20250118032721
18,DOGE,Dogecoin,5.70538341,8.87520962,3.16982621,20250118032721
